"ssp_id","line_item_id","code_type","line_code","package_base_code_boolean","fee_type","sub_package_ids","line_item_association_rate","description","ssp_version"
GA007,8787,RC,"0272",0,Facility Fee,"180GA, 173GA, 108GA",0.0197,"Medical/Surgical Supplies and Devices (Also see 062X, an extension of 027X) - Sterile",1.1
GA007,97204,HCPCS,J0585,0,Facility Fee,"173GA",0.0037,Intramuscular Injection of 1 Unit of Onabotulinumtoxina,1.1
GA007,49444,RC,"0272",0,Optional Fee,"107GA",0.2836,"Medical/Surgical Supplies and Devices (Also see 062X, an extension of 027X) - Sterile",1.1
GA007,75316,RC,"0310",0,Optional Fee,"107GA",0.2795,Laboratory Pathology - General,1.1
GA007,42292,RC,"0312",0,Optional Fee,"107GA",0.2681,Laboratory Pathology - Histology,1.1
GA007,7923,HCPCS,J2405,0,Optional Fee,"180GA",0.0045,"Intramuscular Injection of Ondansetron Hydrochloride, 1mg",1.1
GA007,80164,HCPCS,"88341",0,Professional Fee,"107GA",0.4047,Antibody Staining Procedure for Existing Histochemistry Specimen,1.1
GA010,17236,HCPCS,"49650",1,Base Code,"151GA",0.9215,Repair of Hernia Through Laparoscopic Surgical Incision,1.1
GA010,57028,HCPCS,"49651",1,Base Code,"212GA",0.0784,Laparoscopic Surgical Repair of Hernia Recurrence in Inguinal Area,1.1
GA010,67492,DIAG,K40,0,Diagnosis Codes,"151GA, 212GA",0.9521,Inguinal hernia,1.1
GA010,112036,RC,"0710",0,Facility Fee,"212GA, 151GA",0.9540,Recovery Room - General,1.1
GA010,85348,RC,"0250",0,Facility Fee,"151GA, 212GA",0.9108,"Pharmacy (Also see 063X, an extension of 250X) - General",1.1
GA010,31060,HCPCS,C1781,0,Facility Fee,"212GA, 151GA",0.8985,Implantable Medical Device Made of Mesh Material,1.1
GA010,99604,RC,"0370",0,Facility Fee,"151GA, 212GA",0.8935,Anesthesia - General,1.1
GA010,3315,HCPCS,J2405,0,Facility Fee,"212GA, 151GA",0.8816,"Intramuscular Injection of Ondansetron Hydrochloride, 1mg",1.1
GA010,23619,HCPCS,J3010,0,Facility Fee,"212GA, 151GA",0.8812,Intramuscular Injection of Fentanyl Citrate 0.1mg,1.1
GA010,963,RC,"0360",0,Facility Fee,"212GA, 151GA",0.8468,Operating Room Services - General,1.1
GA010,72772,RC,"0636",0,Facility Fee,"212GA, 151GA",0.8291,Pharmacy - Extension of 025X - Drugs requiring detailed coding,1.1
GA010,28756,HCPCS,J2704,0,Facility Fee,"212GA, 151GA",0.8267,Intramuscular Injection of 10mg Propofol,1.1
GA010,65812,RC,"0278",0,Facility Fee,"212GA, 151GA",0.8085,"Medical/Surgical Supplies and Devices (Also see 062X, an extension of 027X) - Other implants",1.1
GA010,34180,HCPCS,J1100,0,Facility Fee,"212GA, 151GA",0.8034,Intramuscular Injection of 1mg Dexamethasone Sodium Phosphate,1.1
GA010,65332,HCPCS,J0690,0,Facility Fee,"212GA, 151GA",0.7681,Intramuscular Injection of 500mg Cefazolin Sodium,1.1
GA010,114340,RC,"0272",0,Facility Fee,"212GA, 151GA",0.7419,"Medical/Surgical Supplies and Devices (Also see 062X, an extension of 027X) - Sterile",1.1
GA010,7395,HCPCS,J2250,0,Facility Fee,"212GA, 151GA",0.6382,Intramuscular Injection of 1mg Midazolam Hydrochloride,1.1
GA010,113428,HCPCS,J7120,0,Facility Fee,"212GA, 151GA",0.4657,Intravenous Infusion of 1000 Cc of Ringer's Lactate Solution,1.1
GA010,16660,HCPCS,J1885,0,Facility Fee,"212GA, 151GA",0.4248,Intramuscular Injection of 15mg Ketorolac Tromethamine,1.1
GA010,12867,HCPCS,J1170,0,Facility Fee,"212GA",0.0320,"Injection of Hydromorphone, Up to 4 MG",1.1
GA010,60052,RC,"0270",0,Optional Fee,"151GA, 212GA",0.3588,"Medical/Surgical Supplies and Devices (Also see 062X, an extension of 027X) - General",1.1
GA010,11715,HCPCS,J3490,0,Optional Fee,"212GA, 151GA",0.3453,Pharmaceuticals without Categories,1.1
GA010,6292,HCPCS,"00832",0,Professional Fee,"212GA, 151GA",0.4689,Monitoring of Antepartum Diagnosis without Surgery and Complications,1.1
GA011,14116,HCPCS,"49505",1,Base Code,"149GA",0.5982,Repair of Reducible Inguinal Hernia in Patient 5+ Years,1.1
GA011,63172,HCPCS,"49591",1,Base Code,"211GA",0.2548,"Repair of Reducible Anterior Abdominal Hernia, Any Approach, Implantation of Mesh or Prosthesis",1.1
GA011,65956,HCPCS,"49507",1,Base Code,"204GA",0.0801,Repair of Incarcerated/Strangulated Inguinal Hernia in ≥ 5yo,1.1
GA011,49012,HCPCS,"49520",1,Base Code,"205GA",0.0667,"Repair Recurrent Hernia of Inguinal Region, Reducible, Any Age",1.1
GA011,58180,DIAG,K40,0,Diagnosis Codes,"205GA, 204GA, 149GA",0.6952,Inguinal hernia,1.1
GA011,101860,DIAG,K42,0,Diagnosis Codes,"211GA",0.1615,Umbilical hernia,1.1
GA011,111988,RC,"0710",0,Facility Fee,"149GA, 204GA, 211GA, 205GA",0.9375,Recovery Room - General,1.1
GA011,75460,RC,"0370",0,Facility Fee,"211GA, 204GA, 149GA, 205GA",0.8758,Anesthesia - General,1.1
GA011,109828,RC,"0250",0,Facility Fee,"211GA, 205GA, 204GA, 149GA",0.8754,"Pharmacy (Also see 063X, an extension of 250X) - General",1.1
GA011,73780,RC,"0360",0,Facility Fee,"204GA, 211GA, 149GA, 205GA",0.8633,Operating Room Services - General,1.1
GA011,79636,RC,"0636",0,Facility Fee,"211GA, 205GA, 149GA, 204GA",0.8411,Pharmacy - Extension of 025X - Drugs requiring detailed coding,1.1
GA011,63220,HCPCS,J3010,0,Facility Fee,"149GA, 211GA, 205GA, 204GA",0.8176,Intramuscular Injection of Fentanyl Citrate 0.1mg,1.1
GA011,7779,HCPCS,J2405,0,Facility Fee,"149GA, 211GA, 204GA, 205GA",0.8145,"Intramuscular Injection of Ondansetron Hydrochloride, 1mg",1.1
GA011,59572,HCPCS,J2704,0,Facility Fee,"149GA, 211GA, 205GA, 204GA",0.7708,Intramuscular Injection of 10mg Propofol,1.1
GA011,52420,HCPCS,C1781,0,Facility Fee,"205GA, 211GA, 149GA, 204GA",0.7080,Implantable Medical Device Made of Mesh Material,1.1
GA011,113092,HCPCS,J0690,0,Facility Fee,"204GA, 211GA, 149GA, 205GA",0.7004,Intramuscular Injection of 500mg Cefazolin Sodium,1.1
